DATE,BUSLOANS
1969-06-01,102.5404
1969-07-01,103.0557
1969-08-01,103.3067
1969-09-01,103.8176
1969-10-01,104.3372
1969-11-01,105.1854
1969-12-01,106.5979
1970-01-01,106.2979
1970-02-01,105.6953
1970-03-01,105.4128
1970-04-01,105.6766
1970-05-01,106.0118
1970-06-01,106.8358
1970-07-01,107.677
1970-08-01,108.5407
1970-09-01,109.5289
1970-10-01,109.774
1970-11-01,110.1744
1970-12-01,111.3578
1971-01-01,111.5479
1971-02-01,111.8951
1971-03-01,111.9877
1971-04-01,112.1496
1971-05-01,113.0615
1971-06-01,114.1265
1971-07-01,114.3772
1971-08-01,115.6802
1971-09-01,116.6745
1971-10-01,117.268
1971-11-01,117.8104
1971-12-01,117.7961
1972-01-01,118.1645
1972-02-01,118.8982
1972-03-01,119.691
1972-04-01,121.2319
1972-05-01,122.692
1972-06-01,123.7672
1972-07-01,124.6817
1972-08-01,126.0083
1972-09-01,126.9574
1972-10-01,129.0908
1972-11-01,131.5901
1972-12-01,133.1093
1973-01-01,135.4135
1973-02-01,140.7983
1973-03-01,144.9576
1973-04-01,147.5343
1973-05-01,149.9659
1973-06-01,152.8292
1973-07-01,155.3291
1973-08-01,158.0681
1973-09-01,158.5066
1973-10-01,159.1694
1973-11-01,159.9353
1973-12-01,161.2113
1974-01-01,163.0226
1974-02-01,164.772
1974-03-01,168.8168
1974-04-01,174.9909
1974-05-01,177.6309
1974-06-01,180.1082
1974-07-01,183.9873
1974-08-01,186.3819
1974-09-01,187.9941
1974-10-01,189.2302
1974-11-01,190.4047
1974-12-01,191.2761
1975-01-01,191.5869
1975-02-01,190.3805
1975-03-01,188.1191
1975-04-01,187.4109
1975-05-01,186.074
1975-06-01,184.638
1975-07-01,183.651
1975-08-01,182.9282
1975-09-01,182.822
1975-10-01,182.7142
1975-11-01,182.6189
1975-12-01,183.3586
1976-01-01,182.6481
1976-02-01,182.0444
1976-03-01,179.4877
1976-04-01,177.4755
1976-05-01,178.4326
1976-06-01,179.102
1976-07-01,179.1423
1976-08-01,179.7949
1976-09-01,181.1732
1976-10-01,182.4383
1976-11-01,183.9005
1976-12-01,185.2478
1977-01-01,185.7874
1977-02-01,187.4113
1977-03-01,189.1547
1977-04-01,190.2948
1977-05-01,191.7797
1977-06-01,193.5548
1977-07-01,195.1835
1977-08-01,197.4881
1977-09-01,198.9991
1977-10-01,201.2545
1977-11-01,202.9397
1977-12-01,204.6774
1978-01-01,207.2931
1978-02-01,210.259
1978-03-01,213.6058
1978-04-01,216.9979
1978-05-01,220.4005
1978-06-01,223.4759
1978-07-01,226.2258
1978-08-01,228.3623
1978-09-01,230.5011
1978-10-01,232.9249
1978-11-01,235.8062
1978-12-01,237.2394
1979-01-01,239.757
1979-02-01,243.8766
1979-03-01,247.8933
1979-04-01,253.7609
1979-05-01,258.7349
1979-06-01,263.4815
1979-07-01,267.8631
1979-08-01,270.6452
1979-09-01,274.3761
1979-10-01,276.1506
1979-11-01,277.2382
1979-12-01,279.7257
1980-01-01,281.8501
1980-02-01,285.6731
1980-03-01,289.3844
1980-04-01,290.6018
1980-05-01,287.8784
1980-06-01,287.0378
1980-07-01,288.0583
1980-08-01,291.4491
1980-09-01,294.7925
1980-10-01,299.9573
1980-11-01,307.3743
1980-12-01,312.0383
1981-01-01,312.4522
1981-02-01,313.117
