DATE,HOUST,3m growth rate,12m growth rate
1987-07-01,1575.0,-9.320710015443156,-11.616161616161612
1987-08-01,1605.0,-5.532473360985324,-11.178749308245706
1987-09-01,1695.0,27.857303781582555,0.47421458209839784
1987-10-01,1515.0,-14.389250569464362,-9.875074360499703
1987-11-01,1656.0,13.32903293289698,2.0332717190388205
1987-12-01,1400.0,-53.459254829568536,-23.622476813966177
1988-01-01,1271.0,-50.46277540517129,-28.354002254791432
1988-02-01,1473.0,-37.400673950993216,-17.43273542600897
1988-03-01,1532.0,43.391338415660144,-11.239860950173808
1988-04-01,1573.0,134.60252835506935,-2.5402726146220522
1988-05-01,1421.0,-13.390541294957202,-12.714987714987714
1988-06-01,1478.0,-13.371124890481555,-7.277289836888334
1988-07-01,1467.0,-24.35058658082504,-6.857142857142861
1988-08-01,1493.0,21.86048974853754,-6.9781931464174445
1988-09-01,1492.0,3.8430789073088834,-11.976401179940998
1988-10-01,1522.0,15.86123524035241,0.46204620462046986
1988-11-01,1569.0,21.96986509007153,-5.253623188405799
1988-12-01,1563.0,20.43719149306518,11.642857142857132
1989-01-01,1621.0,28.66885896559468,27.53737214791503
1989-02-01,1425.0,-31.959470759735478,-3.258655804480648
1989-03-01,1422.0,-31.488658167803884,-7.180156657963444
1989-04-01,1339.0,-53.44243603057711,-14.876033057851235
1989-05-01,1331.0,-23.888064766138623,-6.333567909922588
1989-06-01,1397.0,-6.849060622635639,-5.480378890392423
1989-07-01,1427.0,28.995210160137507,-2.726653033401505
1989-08-01,1332.0,0.3008647743895531,-10.783657066309448
1989-09-01,1279.0,-29.741875324123,-14.276139410187671
1989-10-01,1410.0,-4.680762810588535,-7.3587385019710965
1989-11-01,1351.0,5.828952322254222,-13.894200127469725
1989-12-01,1251.0,-8.473456643557265,-19.961612284069098
1990-01-01,1551.0,46.41000000000004,-4.318322023442322
1990-02-01,1437.0,27.99873466785783,0.8421052631578885
1990-03-01,1289.0,12.715185638500426,-9.353023909985936
1990-04-01,1248.0,-58.08097718629036,-6.796116504854366
1990-05-01,1212.0,-49.39616782097482,-8.94064613072878
1990-06-01,1177.0,-30.48249417189669,-15.748031496062998
1990-07-01,1171.0,-22.48794716944869,-17.93973370707779
1990-08-01,1115.0,-28.3709831564358,-16.291291291291287
1990-09-01,1110.0,-20.89825508230152,-13.213448006254891
1990-10-01,1014.0,-43.775676362645655,-28.08510638297872
1990-11-01,1145.0,11.204529551597432,-15.247964470762398
1990-12-01,969.0,-41.923131251797486,-22.54196642685852
1991-01-01,798.0,-61.64166520338763,-48.54932301740812
1991-02-01,965.0,-49.546963797821874,-32.84620737647877
1991-03-01,921.0,-18.38999347404774,-28.549262994569435
1991-04-01,1001.0,147.58523670564253,-19.791666666666664
1991-05-01,996.0,13.482292436026588,-17.821782178217827
1991-06-01,1036.0,60.10338010561025,-11.979609175870854
1991-07-01,1063.0,27.17353640045839,-9.222886421861654
1991-08-01,1049.0,23.045178060032768,-5.919282511210766
1991-09-01,1015.0,-7.864892402186907,-8.558558558558559
1991-10-01,1079.0,6.157998226515704,6.41025641025641
1991-11-01,1103.0,22.236272225642708,-3.6681222707423577
1991-12-01,1079.0,27.70903101795972,11.351909184726527
1992-01-01,1176.0,41.10535907004238,47.36842105263157
1992-02-01,1250.0,64.94456209801822,29.53367875647668
1992-03-01,1297.0,108.77290081593291,40.82519001085776
1992-04-01,1099.0,-23.7286413452262,9.790209790209792
1992-05-01,1214.0,-11.03182235172866,21.88755020080322
1992-06-01,1145.0,-39.26178250709693,10.521235521235518
1992-07-01,1139.0,15.37298434013139,7.149576669802449
1992-08-01,1226.0,4.012882898633796,16.873212583412766
1992-09-01,1186.0,15.110995399431992,16.847290640394096
1992-10-01,1244.0,42.29401218468149,15.291936978683962
1992-11-01,1214.0,-3.8580633348510807,10.063463281958285
