DATE,PPIACO,3m growth rate,12m growth rate
1987-05-01,102.6,6.488803649334396,2.6000000000000023
1987-06-01,103.0,7.306702366523599,3.1031031031030887
1987-07-01,103.5,6.430147282418397,4.124748490945662
1987-08-01,103.8,4.761080953728825,4.53172205438066
1987-09-01,103.7,2.746284692431722,4.325955734406439
1987-10-01,104.1,2.339082451626706,4.413239719157458
1987-11-01,104.2,1.5503587068776303,4.4088176352705455
1987-12-01,104.2,1.9426338997379444,4.513540621865597
1988-01-01,104.6,1.935115673720822,4.079601990049753
1988-02-01,104.8,2.323233259556723,3.7623762376237657
1988-03-01,104.9,2.714339295648305,3.656126482213451
1988-04-01,105.8,4.668483687550484,3.8272816486751626
1988-05-01,106.5,6.648143679147744,3.801169590643272
1988-06-01,107.2,9.062936962960231,4.077669902912628
1988-07-01,107.9,8.17903621832803,4.251207729468609
1988-08-01,108.0,5.753948351547455,4.046242774566466
1988-09-01,108.1,3.40073703240924,4.243008678881388
1988-10-01,108.2,1.1167876893402484,3.9385206532180694
1988-11-01,108.3,1.1157493200826707,3.9347408829174535
1988-12-01,109.0,3.3720707020781004,4.606525911708248
1989-01-01,110.5,8.77774938411704,5.640535372848965
1989-02-01,110.8,9.558282421421914,5.725190839694649
1989-03-01,111.5,9.49479574369063,6.291706387035267
1989-04-01,112.3,6.676783627352956,6.143667296786393
1989-05-01,113.2,8.949857321467846,6.291079812206579
1989-06-01,112.9,5.117808509840738,5.317164179104483
1989-07-01,112.8,1.7928733485283788,4.541241890639469
1989-08-01,112.0,-4.173332934693741,3.703703703703698
1989-09-01,112.4,-1.7597458719327608,3.9777983348751267
1989-10-01,112.8,0.0,4.251386321626605
1989-11-01,112.7,2.523535308837932,4.062788550323182
1989-12-01,113.0,2.1523892894194985,3.669724770642202
1990-01-01,114.9,7.657357627356065,3.981900452488696
1990-02-01,114.4,6.171617465818846,3.2490974729241895
1990-03-01,114.2,4.315931792112826,2.4215246636771326
1990-04-01,114.1,-2.756078757472369,1.6028495102404339
