DATE,TB3MS,3m growth rate,12m growth rate
1973-05-01,6.36,66.37051254685558,72.35772357723577
1973-06-01,7.19,94.28818490810173,83.88746803069054
1973-07-01,8.01,168.06044332088516,101.25628140703515
1973-08-01,8.67,245.34082908134812,115.67164179104479
1973-09-01,8.29,76.72685979088686,77.89699570815449
1973-10-01,7.22,-33.9886330781429,52.320675105485215
1973-11-01,7.83,-33.47717892646833,63.807531380753126
1973-12-01,7.45,-34.77606916319678,46.94280078895463
1974-01-01,7.77,34.13289093147309,43.62292051756007
1974-02-01,7.12,-31.62884346059033,27.142857142857157
1974-03-01,7.96,30.32483386091167,30.706075533661735
1974-04-01,8.33,32.097905129446616,33.0670926517572
1974-05-01,8.23,78.51691221757069,29.40251572327044
1974-06-01,7.9,-2.981156312614064,9.874826147426985
1974-07-01,7.55,-32.51491474239524,-5.742821473158555
1974-08-01,8.96,40.48588697886937,3.3448673587082034
1974-09-01,8.06,8.350720116859357,-2.77442702050662
1974-10-01,7.46,-4.6836280411620805,3.3240997229917024
1974-11-01,7.47,-51.68851705090376,-4.597701149425292
1974-12-01,7.15,-38.07243554829831,-4.026845637583887
1975-01-01,6.26,-50.41594701807688,-19.433719433719432
1975-02-01,5.5,-70.61211371356444,-22.752808988764052
1975-03-01,5.49,-65.24116510602323,-31.030150753768837
1975-04-01,5.61,-35.500832052582446,-32.65306122448979
1975-05-01,5.23,-18.23715446649815,-36.452004860267316
1975-06-01,5.34,-10.489156372518282,-32.40506329113925
1975-07-01,6.13,42.55762552896034,-18.807947019867555
1975-08-01,6.44,129.8988050695037,-28.125
1975-09-01,6.42,108.91762696203348,-20.347394540942933
1975-10-01,5.96,-10.640003954742904,-20.107238605898125
1975-11-01,5.48,-47.57013197776774,-26.639892904953133
1975-12-01,5.44,-48.4468167825766,-23.91608391608392
1976-01-01,4.87,-55.42095034188223,-22.204472843450475
1976-02-01,4.88,-37.11355362148081,-11.272727272727279
1976-03-01,5.0,-28.635139934399,-8.925318761384338
1976-04-01,4.86,-0.8188288559364598,-13.36898395721925
1976-05-01,5.2,28.924093523824254,-0.5736137667304075
1976-06-01,5.41,37.05946841760004,1.310861423220988
1976-07-01,5.23,34.110159312442704,-14.681892332789548
