DATE,PCE,3m growth rate,12m growth rate
1997-11-01,5661.1,5.411652241032972,5.791224398265826
1997-12-01,5692.1,6.613131393088012,5.828654296657132
1998-01-01,5689.9,3.755394763750109,5.152371976123149
1998-02-01,5723.8,4.50438052554667,5.333087964666916
1998-03-01,5750.3,4.1530342840891965,5.428843826775709
1998-04-01,5788.1,7.084242288541298,6.022750169435653
1998-05-01,5837.9,8.215334126884756,6.917329035566455
1998-06-01,5871.7,8.71598907304374,6.870882021040381
1998-07-01,5890.0,7.230190165036898,6.149077277970005
1998-08-01,5925.0,6.102792156630099,6.049758367639169
1998-09-01,5965.6,6.551872747564591,6.496242212185588
1998-10-01,5998.8,7.596055941344537,6.405094276034551
1998-11-01,6015.4,6.244052357736596,6.25850099803924
1998-12-01,6070.5,7.221365413200664,6.647810122801778
1999-01-01,6073.9,5.102493284725096,6.7488005061600465
1999-02-01,6099.2,5.689891624762233,6.5585799643593345
1999-03-01,6133.0,4.182315346932897,6.655304940611795
1999-04-01,6199.5,8.531575497026878,7.107686460150986
1999-05-01,6232.1,9.004933693567608,6.752428099145247
1999-06-01,6260.3,8.564721706202526,6.618185534002086
1999-07-01,6287.6,5.806649897743221,6.750424448217318
1999-08-01,6331.9,6.561061019696624,6.867510548523192
1999-09-01,6386.5,8.310630474085311,7.055451253855427
1999-10-01,6411.4,8.111494358692205,6.878042275121676
1999-11-01,6448.7,7.585193354591069,7.203178508494856
1999-12-01,6541.0,10.033500772348036,7.750597150152383
2000-01-01,6542.9,8.460009797971368,7.721562752103273
2000-02-01,6625.3,11.412392104910673,8.62572140608604
2000-03-01,6686.5,9.199034685422111,9.02494700798957
2000-04-01,6679.1,8.59020484904487,7.736107750625054
2000-05-01,6709.7,5.193817851317473,7.663548402625109
2000-06-01,6746.9,3.662504501160102,7.772790441352639
2000-07-01,6768.5,5.462472721129164,7.648387301991222
2000-08-01,6802.8,5.666762500344169,7.436946256258015
2000-09-01,6888.6,8.66927666909838,7.861896187270023
2000-10-01,6893.8,7.613061220961015,7.524097700970156
2000-11-01,6909.8,6.441527056321217,7.150278350675343
2000-12-01,6952.2,3.744518668167318,6.28650053508637
