DATE,PERMIT,3m growth rate,12m growth rate
1975-01-01,726.0,-39.73881937769437,-45.45454545454546
1975-02-01,729.0,-24.861405862733488,-46.39705882352941
1975-03-01,709.0,-55.689583225108464,-50.763888888888886
1975-04-01,866.0,102.45340492595636,-30.94098883572568
1975-05-01,914.0,147.10109484705018,-19.683655536028123
1975-06-01,946.0,216.9418618861167,-12.89134438305709
1975-07-01,1020.0,92.45496472013996,1.7964071856287456
1975-08-01,994.0,39.88165263637602,8.3969465648855
1975-09-01,1064.0,60.03020671553154,26.66666666666666
1975-10-01,1096.0,33.303493001907825,33.00970873786409
1975-11-01,1110.0,55.50572327784992,41.76245210727969
1975-12-01,1091.0,10.54331661552017,25.546605293440727
1976-01-01,1195.0,41.32838772201639,64.60055096418733
1976-02-01,1190.0,32.0979051294465,63.237311385459535
1976-03-01,1164.0,29.5725240715877,64.17489421720732
1976-04-01,1132.0,-19.47808659608118,30.71593533487298
1976-05-01,1194.0,1.3513322015979543,30.634573304157552
1976-06-01,1188.0,8.506021866369817,25.581395348837212
1976-07-01,1245.0,46.315959055621406,22.058823529411775
1976-08-01,1309.0,44.45789396115272,31.690140845070424
1976-09-01,1481.0,141.52076271420125,39.19172932330828
1976-10-01,1425.0,71.62559332851242,30.01824817518248
1976-11-01,1531.0,87.12946527482967,37.92792792792792
1976-12-01,1511.0,8.352172442040118,38.4967919340055
1977-01-01,1466.0,12.015062063561398,22.67782426778242
1977-02-01,1560.0,7.794755210953408,31.092436974789916
1977-03-01,1660.0,45.67146731779357,42.611683848797256
1977-04-01,1660.0,64.3979777250756,46.64310954063604
1977-05-01,1668.0,30.703070970904367,39.69849246231156
1977-06-01,1752.0,24.080648655058788,47.47474747474747
1977-07-01,1687.0,6.666483588844674,35.50200803212851
1977-08-01,1780.0,29.686814867004795,35.981665393430106
1977-09-01,1674.0,-16.6538761013182,13.031735313977034
1977-10-01,1758.0,17.927516500876518,23.36842105263157
1977-11-01,1771.0,-2.007184576804899,15.676028739386027
1977-12-01,1754.0,20.530384360980115,16.082064857710133
1978-01-01,1740.0,-4.033090259834715,18.690313778990443
1978-02-01,1736.0,-7.673868550255558,11.282051282051286
1978-03-01,1799.0,10.66398301188176,8.373493975903612
