DATE,NOCDFSA066MSFRBPHI,3m growth rate,12m growth rate
1985-05-01,17.3,186.27132533836507,-47.73413897280967
1985-06-01,-4.3,-99.95889959981793,-115.03496503496504
1985-07-01,15.9,514.1903691107245,-389.0909090909091
1985-08-01,23.1,217.8802215663061,55.03355704697987
1985-09-01,10.1,2943.7688827164857,-56.27705627705628
1985-10-01,17.1,33.78146401974733,-29.045643153526967
1985-11-01,25.2,41.629670104501024,600.0
1985-12-01,17.5,801.2944558997038,207.0175438596491
1986-01-01,27.8,598.5455688623738,3375.0
1986-02-01,20.4,-57.05441662681701,53.38345864661653
1986-03-01,13.0,-69.5476218242399,-56.95364238410596
1986-04-01,7.4,-99.49794916323312,-26.732673267326724
1986-05-01,0.4,-99.9999852184732,-97.6878612716763
1986-06-01,9.8,-67.70532684429816,-327.90697674418607
1986-07-01,16.5,2371.7747868246115,3.7735849056603765
1986-08-01,15.8,243437906.25,-31.601731601731597
1986-09-01,14.4,366.1714428650701,42.57425742574259
1986-10-01,14.9,-33.501890800483324,-12.865497076023402
1986-11-01,10.6,-79.74206780211833,-57.93650793650793
1986-12-01,19.6,243.2213672648987,12.00000000000001
1987-01-01,14.6,-7.813707417370697,-47.48201438848921
1987-02-01,13.2,140.47629035542948,-35.29411764705882
1987-03-01,13.6,-76.8190437102686,4.615384615384621
1987-04-01,15.3,20.601941727658392,106.75675675675676
1987-05-01,15.8,105.2733750814768,3850.0
1987-06-01,16.8,132.85281545958506,71.42857142857142
1987-07-01,17.8,83.19528254104729,7.878787878787885
1987-08-01,29.9,1182.4971405386805,89.24050632911391
1987-09-01,36.6,2152.616260152019,154.16666666666666
1987-10-01,22.0,133.3515629446515,47.65100671140938
1987-11-01,13.6,-95.71973280933966,28.301886792452823
1987-12-01,38.4,21.171520025399616,95.91836734693875
1988-01-01,14.2,-82.64347995355509,-2.73972602739726
1988-02-01,18.9,272.98518609139086,43.18181818181819
1988-03-01,12.4,-98.91266881683728,-8.823529411764696
1988-04-01,16.7,91.29891510325508,9.15032679738561
1988-05-01,23.5,139.01449110361693,48.73417721518987
1988-06-01,25.9,1803.3222110169927,54.16666666666665
1988-07-01,24.2,340.95632794848365,35.95505617977528
1988-08-01,21.8,-25.944976288409016,-27.090301003344475
1988-09-01,31.9,130.12493344235426,-12.841530054644812
1988-10-01,35.8,378.9284568993434,62.72727272727272
1988-11-01,34.8,549.3681764527943,155.88235294117646
1988-12-01,23.3,-71.53829244981547,-39.322916666666664
1989-01-01,24.5,-78.06527313410348,72.53521126760565
1989-02-01,19.9,-89.30710432025323,5.291005291005302
