DATE,DTB3,3m growth rate,12m growth rate
2019-04-12,2.39,12.626260406986932,37.356321839080465
2019-04-15,2.38,7.014936614034495,39.99999999999999
2019-04-16,2.38,0.0,39.99999999999999
2019-04-17,2.39,5.18252492358906,37.356321839080465
2019-04-18,2.37,3.4479609958109947,37.7906976744186
2019-04-22,2.39,3.418496512224989,42.261904761904766
2019-04-23,2.4,5.160243440828727,42.01183431952662
2019-04-24,2.39,0.0,40.58823529411766
2019-04-25,2.38,0.0,37.572254335260105
2019-04-26,2.37,0.0,38.596491228070185
2019-04-29,2.39,5.18252492358906,40.58823529411766
2019-04-30,2.38,7.014936614034495,38.372093023255815
2019-05-01,2.38,5.204999621901485,37.572254335260105
2019-05-02,2.41,12.513527461719589,36.93181818181819
2019-05-03,2.38,7.014936614034495,34.46327683615817
2019-05-06,2.39,-3.2784086097099374,34.26966292134832
2019-05-07,2.38,-1.663165418838941,32.96089385474858
2019-05-08,2.38,3.433165542398209,33.70786516853932
2019-05-09,2.38,5.204999621901485,29.34782608695652
2019-05-10,2.38,-3.2918976658950494,29.34782608695652
2019-05-13,2.36,-1.677111680524368,29.670329670329654
2019-05-14,2.36,0.0,31.84357541899441
2019-05-15,2.37,0.0,33.14606741573034
2019-05-16,2.35,-9.592745904125744,27.717391304347828
2019-05-17,2.34,-11.12179819086826,28.57142857142856
2019-05-20,2.34,-9.631210937500011,29.281767955801087
2019-05-21,2.34,-6.555100471007114,29.999999999999982
2019-05-22,2.33,-8.142238907052512,29.44444444444445
2019-05-23,2.32,-12.681358024691358,26.77595628415299
2019-05-24,2.3,-15.653633777006204,24.99999999999998
2019-05-28,2.32,-9.709073109880508,25.40540540540539
2019-05-29,2.32,-8.175503529539752,24.731182795698903
2019-05-30,2.33,-4.988609905190977,23.936170212765973
2019-05-31,2.3,-12.78252371078905,21.052631578947366
2019-06-03,2.3,-9.788203367878545,21.693121693121697
2019-06-04,2.3,-3.4039417987687948,22.34042553191489
2019-06-05,2.3,-6.664273032740342,22.34042553191489
2019-06-06,2.28,-14.346324465923477,21.925133689839548
2019-06-07,2.23,-21.616244370218464,17.36842105263159
2019-06-10,2.24,-20.200772108190044,17.894736842105274
2019-06-11,2.22,-21.699617082465352,18.085106382978733
2019-06-12,2.19,-24.57679029428361,17.11229946524062
2019-06-13,2.14,-33.524485188625086,15.053763440860223
2019-06-14,2.15,-32.27321569452192,13.157894736842103
2019-06-17,2.18,-28.413259189719795,14.736842105263182
2019-06-18,2.17,-29.717767007949647,14.814814814814813
2019-06-19,2.13,-35.847943120555634,13.297872340425542
2019-06-20,2.09,-42.49042242356288,9.424083769633507
2019-06-21,2.07,-42.7766138066487,8.376963350785328
2019-06-24,2.08,-42.63305323887061,8.900523560209429
