DATE,IC4WSA,3m growth rate,12m growth rate
2013-09-21,315500,-29.449246156574127,-17.67775603392042
2013-09-28,314000,-33.5262717025931,-18.33550065019506
2013-10-05,331000,-15.75972648577756,-11.438127090300998
2013-10-12,342250,-5.907590171413412,-8.059100067159164
2013-10-19,351500,6.511603339583116,-5.383580080753703
2013-10-26,358500,19.338385983849204,-2.7137042062415184
2013-11-02,352000,16.58788888430045,-5.4398925453324365
2013-11-09,345000,12.485657745789958,-10.910264686894767
2013-11-16,340000,5.474037309974866,-13.978494623655912
2013-11-23,332250,0.3015452063873658,-17.196261682242987
2013-11-30,324750,-0.6134951230095775,-19.56656346749226
2013-12-07,328250,9.34496991475131,-12.988734261100065
2013-12-14,336500,29.402545625233437,-7.7450308430431765
2013-12-21,341000,39.09096610442835,-4.815073272854153
2013-12-28,346000,19.396726544889976,-2.5352112676056304
2014-01-04,338000,-4.875371456303801,-8.5868830290737
2014-01-11,326500,-25.555704384564148,-10.240549828178692
2014-01-18,324750,-32.665134189752806,-7.741477272727271
2014-01-25,326750,-25.75080813778331,-7.436260623229463
2014-02-01,329000,-17.29967590679029,-6.666666666666665
2014-02-08,333750,-7.152667857268646,-5.520169851380041
2014-02-15,335000,3.3520914931156165,-6.685236768802227
2014-02-22,335250,13.57389160278528,-5.028328611898014
2014-03-01,332250,4.964156333935654,-4.457225017972677
2014-03-08,328500,-9.175875254477306,-5.263157894736848
2014-03-15,325750,-16.723937671195465,-4.751461988304095
2014-03-22,318750,-27.972825483653686,-7.8757225433526035
2014-03-29,321500,-18.142758005014947,-9.372797744890772
2014-04-05,318750,-9.161902190092407,-11.149825783972123
2014-04-12,315500,-10.915773114190408,-12.845303867403313
2014-04-19,319000,-9.155142666896744,-10.95603628750872
2014-04-26,322750,-7.384982749628044,-7.055435565154788
2014-05-03,326250,-8.690285704012412,-4.395604395604391
2014-05-10,325000,-11.416218482336529,-5.040175310445583
2014-05-17,324250,-12.49259747007576,-5.2593133674214805
2014-05-24,314250,-19.972143085300043,-9.633357296908695
2014-05-31,311000,-19.6658763286786,-11.26961483594865
2014-06-07,314500,-13.114980767478656,-8.774474256707753
2014-06-14,312000,-8.205300956454042,-10.151187904967607
2014-06-21,314500,-8.428845412254926,-9.03832248734635
2014-06-28,313500,-6.427247027023142,-8.932461873638342
2014-07-05,309750,-7.093134967726044,-10.927390366642708
2014-07-12,308250,-12.81342671006711,-10.78147612156295
2014-07-19,303000,-22.320662985445804,-12.805755395683448
2014-07-26,301750,-26.82090510220728,-12.789017341040465
2014-08-02,300000,-27.39750008753193,-12.536443148688047
2014-08-09,300250,-26.47887815014184,-11.365313653136532
2014-08-16,302500,-14.138124522894255,-9.701492537313428
2014-08-23,301750,-11.376773162066067,-10.059612518628914
2014-08-30,303750,-12.987319575012378,-8.509036144578308
2014-09-06,303250,-10.75480104006945,-6.764027671022288
2014-09-13,299500,-17.755908463053792,-6.697819314641739
2014-09-20,298250,-18.083454631419336,-5.467511885895404
2014-09-27,295000,-17.729752520811815,-6.050955414012737
2014-10-04,291500,-20.02727484557376,-11.933534743202411
2014-10-11,289750,-16.37747740563561,-15.339663988312635
2014-10-18,288500,-16.440822796079523,-17.92318634423897
2014-10-25,288750,-14.177145996093742,-19.456066945606697
2014-11-01,285500,-18.249129459675007,-18.89204545454546
2014-11-08,288000,-17.838485692785454,-16.52173913043479
2014-11-15,288750,-16.150812909037192,-15.073529411764708
2014-11-22,291750,-14.890446439346682,-12.189616252821667
2014-11-29,294500,-11.051637292368866,-9.314857582755964
2014-12-06,294500,-6.512426087364553,-10.281797410510285
2014-12-13,292750,-7.174818812463702,-13.001485884101038
2014-12-20,286000,-11.65620149799943,-16.129032258064512
2014-12-27,284500,-9.264999377153371,-17.77456647398844
2015-01-03,285250,-6.069024243426346,-15.606508875739644
2015-01-10,289750,1.744398486229981,-11.255742725880546
2015-01-17,295250,9.31295978848745,-9.083910700538878
2015-01-24,289250,5.358364452936537,-11.476664116296863
2015-01-31,286000,-2.748976319215213,-13.06990881458967
2015-02-07,284500,-5.758734064979487,-14.75655430711611
2015-02-14,281250,-13.63720968496981,-16.044776119402982
2015-02-21,292250,-3.021182823609825,-12.826249067859807
2015-02-28,301250,9.488126856247224,-9.330323551542518
2015-03-07,300000,10.280164156974214,-8.675799086757996
2015-03-14,301250,23.096042243238625,-7.521105141980044
2015-03-21,296000,17.175755219917967,-7.137254901960787
2015-03-28,284000,-1.741360211265086,-11.66407465007776
2015-04-04,281250,-11.227930205412472,-11.764705882352944
2015-04-11,283250,-15.292854097196818,-10.221870047543579
2015-04-18,286000,-4.419199817870723,-10.344827586206895
2015-04-25,286000,0.0,-11.386522075910143
2015-05-02,282250,-3.1261144273029395,-13.486590038314173
2015-05-09,275500,-7.930393231447419,-15.230769230769226
2015-05-16,270750,-26.33591786427282,-16.499614494988435
2015-05-23,273750,-31.81194715408886,-12.887828162291171
2015-05-30,275750,-28.619914212914733,-11.334405144694538
2015-06-06,277500,-27.998138020029817,-11.764705882352944
