DATE,RETAIL,3m growth rate,12m growth rate
1964-07-01,21887,7.958031661965959,5.9595274980635216
1964-08-01,22195,8.19952982922012,7.586039747939899
1964-09-01,22404,11.982592186020312,8.868263764031292
1964-10-01,21538,-6.227274522634129,2.870516310837279
1964-11-01,21740,-7.951320729699907,5.019081203806586
1964-12-01,22751,6.340746766877925,7.539232369067883
1965-01-01,22918,28.19921617372376,8.89480186258671
1965-02-01,23063,26.655786757816347,9.0810197228397
1965-03-01,22834,1.4672815347858137,7.222013523666426
1965-04-01,23026,1.8983474754491916,7.237332339791358
1965-05-01,23383,5.666597359267889,7.448763900376809
1965-06-01,23243,7.359564707329591,6.722071720464662
1965-07-01,23622,10.762477002096716,7.927080001827558
1965-08-01,23697,5.480591265530288,6.767289930164444
1965-09-01,23760,9.198586407058151,6.052490626673812
1965-10-01,24373,13.33636857995839,13.162782059615562
1965-11-01,24667,17.40642418936609,13.463661453541853
1965-12-01,24755,17.832740231977205,8.808404026196648
1966-01-01,24919,9.266362710964282,8.73112837071297
1966-02-01,24993,5.39213963397589,8.368382257295238
1966-03-01,25430,11.361152791830232,11.369011123762807
1966-04-01,25084,2.675003907387685,8.937722574481022
1966-05-01,24653,-5.331489057156524,5.431296240858741
1966-06-01,25222,-3.2318040185035923,8.514391429677758
1966-07-01,25328,3.9480679529013454,7.222081110828893
1966-08-01,25615,16.54625907562288,8.09385154238933
1966-09-01,25667,7.246309644848314,8.026094276094287
1966-10-01,25557,3.665895061702229,4.857834488983714
1966-11-01,25566,-0.7629838455898375,3.644545343981842
1966-12-01,25384,-4.337925647557239,2.540900828115533
1967-01-01,24156,-20.189397035762912,-3.0619206228179263
1967-02-01,23912,-23.47339096079374,-4.325211059096546
1967-03-01,24153,-18.03204708146462,-5.021627998427059
1967-04-01,24214,0.96388850433049,-3.468346356243024
1967-05-01,24104,3.250667155376008,-2.2269095039143316
1967-06-01,24826,11.620169780736369,-1.5700578859725645
1967-07-01,24654,7.469051098914581,-2.6610865445356957
1967-08-01,24660,9.550865840545764,-3.7282842084715995
1967-09-01,25360,8.885485680911188,-1.1960883624888008
1967-10-01,24974,5.293815396938295,-2.281175411824554
1967-11-01,25561,15.435415977444311,-0.019557224438704335
1967-12-01,26295,15.58346340515573,3.588874881815318
1968-01-01,25821,14.27199281755116,6.892697466467967
1968-02-01,26126,9.139090102379743,9.25894948143191
1968-03-01,26756,7.199324450327027,10.777129135097097
1968-04-01,26695,14.242439948396711,10.246138597505583
1968-05-01,26866,11.820222376139888,11.458679057417864
1968-06-01,27306,8.479479928773713,9.989527108676377
1968-07-01,27649,15.07951244071355,12.14813012087288
1968-08-01,28012,18.185563180301067,13.592862935928629
1968-09-01,27416,1.621130535037918,8.10725552050473
1968-10-01,28185,7.982764705202139,12.8573716665332
1968-11-01,28882,13.014087788072136,12.99244943468565
1968-12-01,28467,16.23861850461563,8.260125499144323
1969-01-01,28774,8.62475263158322,11.436427713876295
1969-02-01,28983,1.4061495719708272,10.935466585011099
1969-03-01,28750,4.036226302734325,7.452534011062939
1969-04-01,28915,1.974557507555552,8.316164075669597
1969-05-01,29192,2.9157999510903254,8.657783071540237
1969-06-01,29008,3.638173606794948,6.233062330623307
1969-07-01,29025,1.5304069909333862,4.976671850699854
1969-08-01,29365,2.3916683319556764,4.830072825931753
1969-09-01,29769,10.913864473656188,8.582579515611322
1969-10-01,30095,15.581540086203471,6.776654248713854
1969-11-01,30070,9.954673094276,4.113288553424277
1969-12-01,30346,7.981369109698888,6.600625285418205
1970-01-01,30439,4.6511805494863445,5.78647390004865
1970-02-01,30581,6.972715037953958,5.513576924403951
1970-03-01,30295,-0.6705539681787775,5.373913043478251
1970-04-01,30654,2.8553981647921223,6.014179491613358
1970-05-01,31092,6.853291605818401,6.508632502055356
1970-06-01,31290,13.798994630513196,7.866795366795376
1970-07-01,31552,12.242921147755624,8.706287683031878
1970-08-01,31542,5.916171335421638,7.413587604290828
1970-09-01,31640,4.549906008347904,6.285061641304712
1970-10-01,31901,4.498393842087345,6.000996843329465
1970-11-01,31195,-4.328397103882409,3.7412703691386717
1970-12-01,32109,6.062344096430472,5.809661899426621
1971-01-01,32878,12.824749029745576,8.012746805085591
1971-02-01,33214,28.512320468998432,8.609921192897541
1971-03-01,33260,15.128238257406837,9.787093579798656
1971-04-01,33878,12.732591381252156,10.517387616624262
1971-05-01,33679,5.718751665767163,8.320468287662418
1971-06-01,34311,13.251646263181382,9.654841802492808
1971-07-01,34416,6.505127702615465,9.077079107505082
1971-08-01,34608,11.498559545599418,9.720372836218383
1971-09-01,35205,10.836777707350652,11.267383059418457
1971-10-01,35630,14.87399297360177,11.68928873703019
1971-11-01,36043,17.64614990194453,15.54095207565316
1971-12-01,36020,9.586596584125973,12.180385561680529
1972-01-01,35746,1.3086468644807558,8.72315834296491
1972-02-01,36044,0.0110983172069367,8.520503402179802
1972-03-01,36975,11.03448862483074,11.169573060733606
1972-04-01,37066,15.609382497261182,9.410236731802346
1972-05-01,37555,17.852592689238268,11.508655245108223
1972-06-01,37800,9.228122488684566,10.168750546471973
1972-07-01,38002,10.489988624380464,10.419572291957223
1972-08-01,38364,8.899143500522522,10.85298196948683
1972-09-01,39088,14.342214525593654,11.02968328362448
1972-10-01,39639,18.37634986164385,11.251754139769865
1972-11-01,39906,17.073139175218444,10.717753794079288
1972-12-01,40808,18.79753890297735,13.29261521377012
1973-01-01,41508,20.236540878994404,16.11928607396631
1973-02-01,42112,24.013989114099864,16.834979469537224
1973-03-01,42432,16.894147347079922,14.758620689655167
1973-04-01,42121,6.039448624455845,13.637835212863546
1973-05-01,42121,0.0855137307605113,12.158168020236992
1973-06-01,42508,0.7183675475188611,12.455026455026452
1973-07-01,42521,3.853033205220546,11.89147939582127
1973-08-01,42648,5.0993390796362,11.166718798873942
1973-09-01,43221,6.880027270194278,10.573577568563252
1973-10-01,43461,9.140259205023328,9.642019223492015
1973-11-01,43807,11.321582882225425,9.7754723600461
1973-12-01,42669,-5.011590582737169,4.560380317584789
1974-01-01,43204,-2.344441019847121,4.085959333140599
1974-02-01,43461,-3.1220794298165044,3.2033624620060763
1974-03-01,44087,13.970467591922642,3.900358220211153
1974-04-01,44676,14.340819208063849,6.0658578856152445
1974-05-01,45187,16.857119594809888,7.279029462738307
1974-06-01,45297,11.438580194258762,6.561117907217473
1974-07-01,46026,12.64600744117863,8.242985818771897
1974-08-01,47335,20.413585743259045,10.989964359407246
1974-09-01,46203,8.24377826773539,6.899423891164025
1974-10-01,45770,-2.206336179608248,5.3128091852465475
1974-11-01,45531,-14.3949806881976,3.9354441071061785
1974-12-01,44836,-11.319784534152957,5.078628512503225
1975-01-01,46482,6.3691222993946806,7.587260438848253
1975-02-01,47158,15.078119667553992,8.506477071397335
1975-03-01,46091,11.675287990578887,4.54555764737905
1975-04-01,46729,2.1425565016031767,4.595308443011903
1975-05-01,48890,15.52038738661523,8.194834797618778
1975-06-01,48836,26.036349886008917,7.812879440139531
1975-07-01,49599,26.924579407712336,7.7630035197497005
1975-08-01,50134,10.573047085571607,5.913172071405937
1975-09-01,50232,11.933875319601729,8.72021297318355
1975-10-01,50565,8.021042537442646,10.476294516058559
1975-11-01,50775,5.21321742438603,11.517427686631088
1975-12-01,51568,11.070639526702486,15.014720314033369
1976-01-01,52854,19.37445316747848,13.708532335097456
1976-02-01,52482,14.14102791258156,11.289706942618437
1976-03-01,52830,10.154258167630667,14.621075698075536
1976-04-01,53868,7.897644639094392,15.277450833529493
1976-05-01,53433,7.447601606898391,9.292288811617922
1976-06-01,54540,13.589474841661175,11.679908264395111
1976-07-01,54946,8.248259328035479,10.780459283453304
1976-08-01,54650,9.426480629000356,9.00785893804603
1976-09-01,54655,0.8460890020326239,8.80514413123108
1976-10-01,55476,3.914518759062391,9.712251557401363
1976-11-01,55707,7.963863794991477,9.713441654357457
1976-12-01,57294,20.7582971692972,11.103785293205082
1977-01-01,56888,10.57631290703258,7.632345707042032
1977-02-01,58198,19.122323816710505,10.891353225867917
1977-03-01,58679,10.025725584139632,11.071360969146316
1977-04-01,59589,20.387591722302663,10.620405435509017
1977-05-01,59328,7.995731826536301,11.032508000673747
1977-06-01,59643,6.73506132480548,9.356435643564364
1977-07-01,60327,5.046727158305853,9.793251556073246
1977-08-01,60275,6.539350213948025,10.292772186642264
1977-09-01,60539,6.145857882746131,10.765712194675704
1977-10-01,61743,9.72459693685559,11.296776984641998
1977-11-01,62232,13.633440928389584,11.713070170714634
1977-12-01,62517,13.723847943174295,9.116137815478066
1978-01-01,61283,-2.9469563934439447,7.725706651666431
1978-02-01,62730,3.2395531735385674,7.787209182446131
1978-03-01,64277,11.74545737953505,9.540039877980199
1978-04-01,65882,33.569416822824614,10.560673949890088
1978-05-01,66305,24.819939408122394,11.76004584681769
1978-06-01,67452,21.270992076467145,13.092902771490378
1978-07-01,67017,7.071240061366235,11.089561887711973
1978-08-01,67902,9.987960116686768,12.653670676068018
1978-09-01,68218,4.620455243771526,12.6843852723038
1978-10-01,69432,15.212279695073104,12.453233564938525
1978-11-01,70495,16.172408796513228,13.277734927368567
1978-12-01,71429,20.19941375032279,14.255322552265781
1979-01-01,70989,9.2761869203563,15.8379974870682
1979-02-01,71588,6.34759137984704,14.120835326000325
1979-03-01,73031,9.277489532258487,13.619179488775135
