DATE,INDPRO,3m growth rate,12m growth rate
1981-11-01,50.3634,-9.28138688773764,-1.114643115895797
1981-12-01,49.8181,-11.42819207977932,-2.821256076341483
1982-01-01,48.7979,-15.908592066756722,-4.215109146476726
1982-02-01,49.7942,-4.444679852313326,-1.8508590035716255
1982-03-01,49.459,-2.8522638564828062,-3.0067343632947607
1982-04-01,49.0072,1.7267171204877751,-3.4873370357241362
1982-05-01,48.6784,-8.666491104012374,-4.676824623482611
1982-06-01,48.5529,-7.129159817030162,-5.420420566664397
1982-07-01,48.3859,-4.975469174345381,-6.346124812734444
1982-08-01,47.9495,-5.856324183556416,-7.083435875275413
1982-09-01,47.8258,-5.856947873417273,-6.8679933090178285
1982-10-01,47.3656,-8.171629434133031,-7.04990963163854
1982-11-01,47.2148,-5.98951655530392,-6.251762192385746
1982-12-01,46.8797,-7.681163631377275,-5.89825786210233
1983-01-01,47.7491,3.278182955249287,-2.1492728170679487
1983-02-01,47.4548,2.0488164201555525,-4.698137534090307
1983-03-01,47.8516,8.554182143662237,-3.2499646171576524
1983-04-01,48.4511,6.011701470599529,-1.1347312231672069
1983-05-01,48.7542,11.4108656606855,0.1557158821982485
1983-06-01,49.0496,10.396683149827158,1.0230078944820864
1983-07-01,49.7773,11.406563678488425,2.8756311239431342
1983-08-01,50.3727,13.954841451550948,5.053650194475434
1983-09-01,51.098,17.780590590065625,6.841913778755404
1983-10-01,51.4993,14.57238653927877,8.727219754420922
1983-11-01,51.727,11.19576482536142,9.556749154925992
1983-12-01,51.9886,7.156095848722099,10.897893971164496
1984-01-01,53.0175,12.323771236254055,11.03350639069638
1984-02-01,53.2651,12.435076831502956,12.243861527179533
1984-03-01,53.5145,12.267331068275622,11.834296031898628
1984-04-01,53.8319,6.287417240803506,11.105630212729945
1984-05-01,54.1204,6.579334546960203,11.006641479093071
1984-06-01,54.3133,6.105739047133341,10.731382111169108
1984-07-01,54.4644,4.783297257863883,9.416139485267383
1984-08-01,54.53,3.061865589093516,8.253081530273331
1984-09-01,54.3775,0.4736513473069248,6.418059415241295
1984-10-01,54.3528,-0.817102240795986,5.540852011580744
1984-11-01,54.5344,0.0322797181700806,5.427339687203969
1984-12-01,54.5608,1.3551848310803027,4.947623132763734
1985-01-01,54.5342,1.3416798664514618,2.860753524779547
1985-02-01,54.7019,1.234254229662235,2.6974510514389483
1985-03-01,54.7739,1.5714705209844526,2.3533808593932504
1985-04-01,54.6662,0.9717207383181492,1.549824546412082
1985-05-01,54.7472,0.3316616216468393,1.1581584762862196
1985-06-01,54.7211,-0.3850279289979941,0.7508289866386297
1985-07-01,54.4381,-1.6586213293148022,-0.048288423263631586
1985-08-01,54.619,-0.9333839830120816,0.16321291032459495
1985-09-01,54.82,0.7249009474394219,0.8137556893935916
1985-10-01,54.6304,1.420485561337026,0.5107372573261992
1985-11-01,54.8176,1.4623909006914235,0.5193052458631664
1985-12-01,55.3596,3.9957638279961127,1.4640547792554415
1986-01-01,55.6511,7.685564865790062,2.048072585643501
1986-02-01,55.27,3.342220326583756,1.0385379666885353
1986-03-01,54.8828,-3.400858628407477,0.19881731992792417
1986-04-01,54.9456,-4.9752646613407165,0.5111019240408021
1986-05-01,55.0535,-1.5576712822202077,0.5594806675044639
1986-06-01,54.837,-0.3333846039827115,0.21180129785403068
1986-07-01,55.1716,1.6554423894568735,1.3474019115288671
1986-08-01,55.0792,0.1868582485019754,0.8425639429502585
1986-09-01,55.2317,2.910311506909924,0.7510032834731728
1986-10-01,55.4645,2.1405268458405624,1.5268055880974574
1986-11-01,55.6854,4.475601388692718,1.5830682116692474
1986-12-01,56.212,7.29080586292945,1.5397510097616474
1987-01-01,56.0012,3.9271275050781096,0.6290980771269439
1987-02-01,56.7438,7.822225083052259,2.6665460466799296
1987-03-01,56.8235,4.422904929935911,3.536080520673135
1987-04-01,57.1954,8.80655839448108,4.094595381613808
1987-05-01,57.5498,5.803883892817829,4.534316619288514
1987-06-01,57.8603,7.500579001270302,5.513248354213385
1987-07-01,58.2501,7.582664099687619,5.579863552987407
1987-08-01,58.6889,8.15549862565712,6.55365364783802
1987-09-01,58.9137,7.4836661324577,6.666461470496121
1987-10-01,59.7083,10.395691421336808,7.651380612824421
1987-11-01,60.0022,9.255879718183447,7.752121741066786
