DATE,DTWEXM,3m growth rate,12m growth rate
1982-03-19,112.8903,25.73586603534048,12.632371868421322
1982-03-22,113.2448,27.79815550673692,12.975579194778852
1982-03-23,113.1191,30.447113780299297,12.797401810037767
1982-03-24,112.9583,25.302641799463977,13.587460946180885
1982-03-25,113.491,31.96149435215505,14.1993787463637
1982-03-26,113.8481,33.53485602373796,14.18769420255841
1982-03-29,114.2784,35.82147143847509,14.723181775744564
1982-03-30,113.8084,32.716989351541194,14.456107110136273
1982-03-31,114.4161,39.77831645959977,15.614443709044256
1982-04-01,113.8626,37.215645141019934,15.221872429045447
1982-04-02,113.708,35.85155127122934,15.887023706758185
1982-04-05,114.3166,40.20932638289088,16.4987378588338
1982-04-06,114.6224,45.480087073859465,16.49091426480751
1982-04-07,114.3287,44.16539294144779,15.550881675481554
1982-04-08,114.9414,49.95540651302357,16.330620267231268
1982-04-09,114.7867,50.486856218726615,16.056121860914672
1982-04-12,114.6075,46.572763093814814,14.98441892523692
1982-04-13,114.1637,46.0144414694216,13.981671270980245
1982-04-14,114.425,43.81958081876674,14.80880583791615
1982-04-15,114.5501,45.67031296147815,14.721264126076106
1982-04-16,114.4361,42.380441867510754,14.85635941911454
1982-04-19,113.7643,37.56854582371791,13.679381502017996
1982-04-20,113.4851,36.024538580210354,12.214384312050331
1982-04-21,113.3898,33.26966259751827,12.956161296781655
1982-04-22,113.4332,31.53131628086132,12.846960042578814
1982-04-23,113.1739,27.05988505230388,12.238615616071291
1982-04-26,112.4966,28.38930171273253,11.208912007860983
1982-04-27,112.4682,27.38623392386989,10.466654683784515
1982-04-28,112.1034,25.827061500398973,10.391775520553814
1982-04-29,111.6387,22.55020623062405,9.282888766852949
1982-04-30,111.4619,21.75874277908616,9.031052680488516
1982-05-03,111.5158,23.74370471841103,8.897469249368184
1982-05-04,111.9504,24.73000873795641,9.270433351618212
1982-05-05,111.0502,19.909623236944853,8.514858838106477
1982-05-06,110.6331,18.19396198542549,8.739403291675462
1982-05-07,110.2569,16.35350518432379,8.343978711863343
1982-05-10,110.2613,19.256406959431335,8.395914703861251
1982-05-11,110.3537,20.629147477049138,8.734855471736779
1982-05-12,110.6349,22.7226390543954,8.827385946809452
1982-05-13,111.0888,21.97829135031355,8.426495821596536
1982-05-14,111.2802,24.40560296136216,8.499890310786107
1982-05-17,111.4802,22.425168054135327,8.78727967883024
1982-05-18,111.7786,24.34271291424264,8.001569124575347
1982-05-19,112.1222,21.862779435444835,7.82328560300809
1982-05-20,111.9875,20.507139423036413,8.117540746519092
1982-05-21,111.6778,18.080335140321434,7.371659592060431
1982-05-24,111.63,16.527647763073873,7.689843988161149
1982-05-25,112.0698,18.193955969163376,7.418781594520452
1982-05-26,112.3372,19.774280986997734,7.212240480548804
1982-05-27,113.174,24.649141612128943,7.884940778341787
1982-05-28,113.3145,23.364836387145395,7.454979943671591
1982-06-01,113.9937,27.181408673090225,8.07671595490107
1982-06-02,113.8799,24.327069807143765,8.400782451013523
1982-06-03,113.5508,19.10207539248261,8.033630522829615
1982-06-04,113.7643,22.80596565772868,8.420161804494652
1982-06-07,114.3933,23.911115452118125,8.346072319556285
1982-06-08,114.9832,25.37726542450376,9.032738306900878
1982-06-09,115.672,30.95150522062098,9.261311094171653
1982-06-10,115.7095,25.47075446017637,8.982244039904774
1982-06-11,115.2904,22.61507749194176,9.047228096991077
1982-06-14,116.8544,28.50763293854208,10.397055433579094
1982-06-15,117.0658,31.35163046520597,10.641824998747706
1982-06-16,117.735,33.420321736574806,10.439582086528132
1982-06-17,118.376,34.569582928491506,11.121854233765571
1982-06-18,118.8155,32.49964464709991,9.843585758806439
1982-06-21,119.5901,37.05844978905397,10.33599908476277
1982-06-22,118.7693,34.47474789607705,9.810620174318574
1982-06-23,119.3679,30.70233650803398,10.358456341215838
1982-06-24,118.4943,26.892466365235038,10.593190678365527
1982-06-25,119.534,37.13912745446013,10.827707761388595
1982-06-28,120.0626,41.00281626333893,11.73738281835297
1982-06-29,119.0566,36.89082400317745,12.455995352769222
1982-06-30,118.7847,31.43081589536132,12.104293071571949
1982-07-01,118.8854,32.283441430439794,12.109924597052535
1982-07-02,119.1524,32.28993320051834,11.671629229542212
