DATE,AHETPI,3m growth rate,12m growth rate
1981-01-01,7.18,9.433257850438048,9.284627092846254
1981-02-01,7.23,8.135488984330363,9.04977375565612
1981-03-01,7.29,9.28284531046648,8.968609865470857
1981-04-01,7.33,8.622081693474248,9.077380952380953
1981-05-01,7.37,7.973396287698509,9.023668639053263
1981-06-01,7.41,6.748730432902916,8.65102639296187
1981-07-01,7.45,6.711000659709421,8.600583090379011
1981-08-01,7.52,8.393043547483092,8.827785817655553
1981-09-01,7.56,8.346366168742492,8.776978417266168
1981-10-01,7.59,7.731327796190435,8.119658119658135
1981-11-01,7.63,5.980701405721889,7.616361071932309
1981-12-01,7.64,4.300466840472339,7.152875175315576
1982-01-01,7.72,7.029155269956711,7.520891364902504
1982-02-01,7.72,4.802356880244174,6.777316735822958
1982-03-01,7.75,5.884740287692569,6.310013717421126
1982-04-01,7.77,2.6159508840975176,6.00272851296042
1982-05-01,7.84,6.364095036235229,6.3772048846675755
1982-06-01,7.85,5.262048356236626,5.937921727395401
1982-07-01,7.9,6.862244065625478,6.040268456375841
1982-08-01,7.94,5.20048910448756,5.585106382978733
1982-09-01,7.94,4.665459093150481,5.026455026455046
1982-10-01,7.96,3.0727600941317768,4.87483530961792
1982-11-01,7.98,2.0303921134269043,4.587155963302769
1982-12-01,8.01,3.573357449157877,4.842931937172779
1983-01-01,8.06,5.12061578433276,4.404145077720223
1983-02-01,8.09,5.628842574885429,4.792746113989632
1983-03-01,8.1,4.570699028745251,4.516129032258065
1983-04-01,8.13,3.519464119778859,4.633204633204646
1983-05-01,8.17,4.014560816706592,4.2091836734693855
1983-06-01,8.19,4.519068739521392,4.331210191082802
1983-07-01,8.22,4.502116837885395,4.0506329113924044
1983-08-01,8.2,1.4768980930461195,3.2745591939546514
1983-09-01,8.27,3.964826028495616,4.1561712846347465
1983-10-01,8.31,4.452015610169235,4.396984924623126
1983-11-01,8.31,5.474793940685463,4.135338345864659
1983-12-01,8.33,2.9337908810648683,3.995006242197263
1984-01-01,8.38,3.41224808521583,3.970223325062028
1984-02-01,8.38,3.41224808521583,3.584672435105074
1984-03-01,8.41,3.8972320481222233,3.827160493827164
1984-04-01,8.45,3.3833882027532347,3.936039360393595
1984-05-01,8.45,3.3833882027532347,3.427172582619331
1984-06-01,8.48,3.371168571740446,3.5409035409035505
1984-07-01,8.51,2.8706311824193254,3.5279805352797844
1984-08-01,8.51,2.8706311824193254,3.780487804878052
1984-09-01,8.55,3.34299645995646,3.38573155985491
1984-10-01,8.55,1.893438586256413,2.8880866425992746
1984-11-01,8.57,2.850177929290987,3.128760529482544
1984-12-01,8.61,2.836703573635435,3.361344537815114
1985-01-01,8.61,2.836703573635435,2.744630071599019
1985-02-01,8.64,3.307459633358656,3.1026252983293423
1985-03-01,8.66,2.343192970816021,2.9726516052318575
1985-04-01,8.69,3.7687296265412895,2.8402366863905293
1985-05-01,8.7,2.80684715472157,2.9585798816567976
1985-06-01,8.74,3.7466691856226086,3.0660377358490587
1985-07-01,8.74,2.3214355881238102,2.7027027027026973
1985-08-01,8.76,2.7872895779753826,2.9377203290246845
1985-09-01,8.8,2.774401899649037,2.923976608187129
1985-10-01,8.79,2.308041213570644,2.8070175438596356
1985-11-01,8.81,2.302726641270958,2.8004667444574194
1985-12-01,8.87,3.219984787109187,3.0197444831591147
1986-01-01,8.85,2.75845892368094,2.7874564459930307
1986-02-01,8.88,3.216286365155696,2.77777777777779
1986-03-01,8.89,0.904971611362404,2.6558891454965483
1986-04-01,8.88,1.3628423680701385,2.1864211737629535
1986-05-01,8.9,0.903949057544806,2.298850574712663
1986-06-01,8.92,1.3566793223644735,2.0594965675057253
1986-07-01,8.91,1.358214852226669,1.94508009153318
1986-08-01,8.94,1.809908845302477,2.054794520547931
1986-09-01,8.94,0.8998818464261538,1.5909090909090873
