DATE,AWHMAN,3m growth rate,12m growth rate
1960-09-01,39.4,-4.919095487451319,-2.4752475247524774
1960-10-01,39.7,-1.98998756289176,-0.9975062344139585
1960-11-01,39.3,-3.969724579179723,-1.5037593984962405
1960-12-01,38.4,-9.772274386235525,-4.714640198511166
1961-01-01,39.3,-3.969724579179723,-3.2019704433497664
1961-02-01,39.4,1.0217030764793966,-2.2332506203473934
1961-03-01,39.5,11.960153451856325,-1.2499999999999956
1961-04-01,39.5,2.051215306366849,-1.2499999999999956
1961-05-01,39.7,3.080647938275538,-0.9975062344139585
1961-06-01,40.0,5.160243440828816,0.25062656641603454
1961-07-01,40.0,5.160243440828816,0.25062656641603454
1961-08-01,40.1,4.091547094737402,1.0075566750629594
1961-09-01,39.5,-4.907028808593728,0.2538071065989911
1961-10-01,40.3,3.0339190664061766,1.5113350125944391
1961-11-01,40.7,6.120709866927232,3.5623409669211403
1961-12-01,40.4,9.430171017102596,5.208333333333326
1962-01-01,40.0,-2.944582807192697,1.781170483460559
1962-02-01,40.4,-2.9159637953019235,2.538071065989844
1962-03-01,40.6,1.9949510501117595,2.784810126582271
1962-04-01,40.6,6.136355062500054,2.784810126582271
1962-05-01,40.6,1.9949510501117595,2.267002518891692
1962-06-01,40.5,-0.9815876666202428,1.2499999999999956
1962-07-01,40.5,-0.9815876666202428,1.2499999999999956
1962-08-01,40.5,-0.9815876666202428,0.9975062344139696
1962-09-01,40.5,0.0,2.5316455696202445
1962-10-01,40.3,-1.9607248375550057,0.0
1962-11-01,40.5,0.0,-0.49140049140049546
1962-12-01,40.3,-1.9607248375550057,-0.24752475247524774
1963-01-01,40.5,1.999938121029765,1.2499999999999956
1963-02-01,40.5,0.0,0.24752475247524774
1963-03-01,40.5,1.999938121029765,-0.24630541871921707
1963-04-01,40.5,0.0,-0.24630541871921707
1963-05-01,40.5,0.0,-0.24630541871921707
1963-06-01,40.7,1.9899887882285583,0.4938271604938427
1963-07-01,40.6,0.9913183250357172,0.24691358024691024
1963-08-01,40.6,0.9913183250357172,0.24691358024691024
1963-09-01,40.6,-0.9791847955454068,0.24691358024691024
1963-10-01,40.7,0.9888676370959136,0.992555831265518
1963-11-01,40.7,0.9888676370959136,0.4938271604938427
1963-12-01,40.6,0.0,0.7444168734491496
1964-01-01,40.1,-5.767686509638392,-0.987654320987652
1964-02-01,40.7,0.0,0.4938271604938427
1964-03-01,40.6,0.0,0.24691358024691024
1964-04-01,40.7,6.120709866927232,0.4938271604938427
1964-05-01,40.8,0.986429036122516,0.7407407407407307
1964-06-01,40.8,1.9850511507195636,0.24570024570023108
1964-07-01,40.8,0.986429036122516,0.49261083743841194
1964-08-01,40.9,0.9840024329157426,0.738916256157629
1964-09-01,40.9,0.9840024329157426,0.738916256157629
1964-10-01,40.7,-0.9767936598388705,0.0
1964-11-01,41.0,0.9815877391509576,0.7371007371007376
1964-12-01,41.2,2.9664244850849952,1.4778325123152802
1965-01-01,41.3,6.028488354227712,2.9925187032418865
1965-02-01,41.3,2.959109991963227,1.474201474201453
1965-03-01,41.3,0.9744142441729942,1.724137931034475
1965-04-01,41.2,-0.965011039149688,1.228501228501222
1965-05-01,41.3,0.0,1.225490196078427
1965-06-01,41.2,-0.965011039149688,0.9803921568627638
1965-07-01,41.2,0.0,0.9803921568627638
1965-08-01,41.1,-1.9230208232659307,0.4889975550122383
1965-09-01,41.1,-0.9673447679132364,0.4889975550122383
1965-10-01,41.2,0.0,1.228501228501222
1965-11-01,41.3,1.960725992386747,0.7317073170731714
1965-12-01,41.3,1.960725992386747,0.24271844660193054
1966-01-01,41.5,2.9445886824343903,0.4842615012106588
1966-02-01,41.7,3.9307385020610486,0.9685230024213176
1966-03-01,41.6,2.9373813389841352,0.7263922518159882
1966-04-01,41.8,2.92307197635584,1.4563106796116276
1966-05-01,41.5,-1.904707397590677,0.4842615012106588
1966-06-01,41.4,-1.909252976274367,0.4854368932038833
1966-07-01,41.2,-5.619182006039947,0.0
1966-08-01,41.4,-0.9603772000278176,0.7299270072992581
1966-09-01,41.2,-1.918409531923071,0.24330900243310083
1966-10-01,41.3,0.9744142441729942,0.24271844660193054
1966-11-01,41.2,-1.918409531923071,-0.2421307506053183
1966-12-01,40.9,-2.8809628963222367,-0.9685230024213065
1967-01-01,41.1,-1.9230208232659307,-0.9638554216867434
1967-02-01,40.4,-7.543681510587241,-3.117505995203851
1967-03-01,40.5,-3.85496523006873,-2.644230769230771
1967-04-01,40.4,-6.6405739877034575,-3.349282296650713
1967-05-01,40.4,0.0,-2.6506024096385583
1967-06-01,40.4,-0.9840023596687232,-2.4154589371980673
1967-07-01,40.5,0.9937811900285308,-1.6990291262136026
1967-08-01,40.6,1.9949510501117595,-1.9323671497584516
1967-09-01,40.6,1.9949510501117595,-1.4563106796116498
1967-10-01,40.6,0.9913183250357172,-1.6949152542372725
1967-11-01,40.6,0.0,-1.4563106796116498
1967-12-01,40.7,0.9888676370959136,-0.4889975550122161
1968-01-01,40.4,-1.9559311804872024,-1.7031630170316392
1968-02-01,40.8,1.9850511507195636,0.990099009900991
1968-03-01,40.8,0.986429036122516,0.7407407407407307
1968-04-01,40.3,-0.9864289621503096,-0.24752475247524774
1968-05-01,40.9,0.9840024329157426,1.2376237623762387
1968-06-01,40.9,0.9840024329157426,1.2376237623762387
1968-07-01,40.8,5.055904871711525,0.7407407407407307
1968-08-01,40.7,-1.9416898177087027,0.24630541871921707
1968-09-01,40.9,0.0,0.738916256157629
1968-10-01,41.0,1.9752490193011285,0.9852216748768461
1968-11-01,40.9,1.9801379547527365,0.738916256157629
1968-12-01,40.7,-1.9416898177087027,0.0
1969-01-01,40.8,-1.936988669600903,0.990099009900991
1969-02-01,40.4,-4.801034640909174,-0.9803921568627416
1969-03-01,40.8,0.986429036122516,0.0
