DATE,HTRUCKSSA,3m growth rate,12m growth rate
1985-04-01,24.7,-1.6031739606743978,12.785388127853881
1985-05-01,24.3,0.0,1.673640167364021
1985-06-01,24.4,-20.0017509567944,5.1724137931034475
1985-07-01,23.0,-24.81632834220845,-9.090909090909093
1985-08-01,23.1,-18.33747104686556,1.3157894736842035
1985-09-01,24.6,3.319221002899053,-0.4048582995951344
1985-10-01,24.8,35.17468905557084,-0.8000000000000007
1985-11-01,24.1,18.47323592155479,-12.363636363636354
1985-12-01,27.0,45.11577589187472,9.31174089068827
1986-01-01,23.3,-22.08573810918856,-6.048387096774189
1986-02-01,20.4,-48.66039778286636,-16.049382716049386
1986-03-01,21.7,-58.27619771526849,-15.891472868217061
1986-04-01,22.5,-13.042631567179052,-8.906882591093112
1986-05-01,22.0,35.26020882454204,-9.465020576131689
1986-06-01,23.6,39.89721745266264,-3.2786885245901565
1986-07-01,22.5,0.0,-2.1739130434782594
1986-08-01,22.9,17.39543409773916,-0.8658008658008809
1986-09-01,22.8,-12.885313889715766,-7.317073170731714
1986-10-01,23.1,11.10096908641982,-6.854838709677413
1986-11-01,23.1,3.5394825481894987,-4.149377593360992
1986-12-01,24.7,37.73630401234564,-8.518518518518526
1987-01-01,21.6,-23.551831547091485,-7.296137339055786
1987-02-01,23.2,1.742878384508506,13.725490196078427
1987-03-01,23.5,-18.062325101851616,8.294930875576046
1987-04-01,23.8,47.39841843332562,5.777777777777771
1987-05-01,24.1,16.443762750468505,9.545454545454547
1987-06-01,23.2,-5.009430706638407,-1.6949152542372947
1987-07-01,23.6,-3.319211516339915,4.888888888888898
1987-08-01,25.5,25.340825725424,11.353711790393017
1987-09-01,24.9,32.692216556310804,9.210526315789469
1987-10-01,23.6,0.0,2.164502164502169
1987-11-01,26.3,13.152009786553332,13.85281385281385
1987-12-01,24.2,-10.779618578698402,-2.0242914979757054
1988-01-01,26.1,49.59394575606228,20.833333333333325
1988-02-01,28.5,37.89751693322878,22.844827586206897
1988-03-01,27.9,76.66696536939845,18.723404255319153
1988-04-01,28.7,46.20612187599009,20.58823529411764
1988-05-01,27.9,-8.158837332433022,15.767634854771773
1988-06-01,27.4,-6.97805023767375,18.10344827586208
1988-07-01,27.5,-15.704733429443085,16.52542372881356
1988-08-01,25.6,-29.11684362035429,0.39215686274509665
1988-09-01,28.1,10.617293516165049,12.851405622489963
1988-10-01,28.9,21.972126555289883,22.45762711864405
1988-11-01,29.7,81.16151171270758,12.927756653992395
1988-12-01,28.2,1.4311042762121584,16.528925619834723
1989-01-01,29.6,10.04630709893981,13.409961685823756
1989-02-01,26.9,-32.70491860671757,-5.614035087719305
1989-03-01,25.0,-38.23199118705798,-10.39426523297491
1989-04-01,27.1,-29.7396483216148,-5.574912891986051
1989-05-01,27.0,1.4953011756444925,-3.2258064516129004
1989-06-01,26.6,28.164135321600025,-2.9197080291970656
1989-07-01,25.5,-21.60586756988454,-7.272727272727275
1989-08-01,26.1,-12.681358024691358,1.953125
1989-09-01,24.9,-23.21598068081797,-11.387900355871894
1989-10-01,25.9,6.423695284146014,-10.380622837370247
1989-11-01,25.2,-13.095926512941835,-15.151515151515149
1989-12-01,23.1,-25.928603753175302,-18.085106382978722
1990-01-01,24.8,-15.936461480944953,-16.216216216216218
1990-02-01,24.7,-7.703411257691506,-8.17843866171003
1990-03-01,23.6,8.94319112242754,-5.599999999999994
