DATE,T10YFF,3m growth rate,12m growth rate
1972-08-29,1.34,-86.23651321631036,47.25274725274726
1972-08-30,0.92,-96.9968141112134,37.31343283582089
1972-08-31,1.29,-81.23560546311572,51.764705882352956
1972-09-01,1.24,17.895952376057146,47.61904761904763
1972-09-05,1.83,25.20450236017553,110.34482758620689
1972-09-06,2.74,402.57154111351696,179.5918367346939
1972-09-07,1.77,-23.07883578204758,101.13636363636363
1972-09-08,1.93,-7.877793542677591,89.21568627450979
1972-09-11,1.91,-39.980201426748906,119.54022988505746
1972-09-12,1.85,-13.8050149252385,122.89156626506026
1972-09-13,1.66,-44.123726126588416,140.57971014492753
1972-09-14,1.88,-27.87086444290423,254.71698113207543
1972-09-15,1.68,-65.9947162079093,257.44680851063833
1972-09-18,1.61,-52.565253452696616,198.14814814814815
1972-09-19,1.42,-71.29573321622256,283.78378378378375
1972-09-20,1.43,-64.30090255853155,346.875
1972-09-21,1.46,-65.85886505594468,342.4242424242424
1972-09-22,1.49,-57.921702479136,292.10526315789474
1972-09-25,1.68,7.473489515743514,354.05405405405406
1972-09-26,1.85,6.758229235449331,224.56140350877197
1972-09-27,1.84,-2.1446942071679187,129.99999999999997
1972-09-28,1.56,-46.02249062890464,50.0
1972-09-29,1.66,-27.66602499618962,159.375
1972-10-02,1.35,-76.06100919354904,95.6521739130435
1972-10-03,1.04,-86.93982655272104,35.064935064935064
1972-10-04,0.78,-95.8676794951969,16.417910447761198
1972-10-05,1.28,-70.7151579843386,85.50724637681162
1972-10-06,1.39,30.703070970904367,98.57142857142858
1972-10-10,1.48,-32.03325932403608,124.24242424242422
1972-10-11,1.59,0.0,112.00000000000001
1972-10-12,1.5,-33.329657827549354,102.70270270270272
1972-10-13,1.56,-16.102701680302456,87.95180722891567
1972-10-16,1.43,-39.286664685795714,130.64516129032256
1972-10-17,1.61,-2.446367372557845,159.67741935483875
1972-10-18,1.86,78.13459583085884,210.0
1972-10-19,1.54,-25.928603753175302,144.44444444444446
1972-10-20,1.59,-26.97447134518064,62.24489795918369
1972-10-24,1.45,-49.49222683899269,101.38888888888889
1972-10-25,0.81,-94.33098346968492,17.391304347826097
1972-10-26,1.29,-68.359375,104.76190476190474
1972-10-27,1.42,-43.79460745264727,294.4444444444444
1972-10-30,1.48,-42.55513990493408,196.0
1972-10-31,1.53,-35.91132664727864,135.3846153846154
1972-11-01,0.89,-91.93333276257552,8.536585365853666
1972-11-02,1.28,-64.64852601928331,33.33333333333335
1972-11-03,1.24,-65.67372460262422,5.982905982905984
1972-11-06,1.02,-81.7231101852176,15.909090909090917
1972-11-08,0.3,-99.83566126289315,-66.66666666666667
1972-11-09,1.17,-63.95577784044071,31.46067415730336
1972-11-10,1.05,-83.60084693668463,517.6470588235294
1972-11-13,1.21,-42.57747569474364,57.14285714285714
1972-11-14,1.45,-12.681358024691358,95.94594594594594
1972-11-15,2.73,997.199376,307.46268656716416
1972-11-16,1.36,-5.672290715702211,300.0
1972-11-17,1.36,-20.43800487730526,88.8888888888889
1972-11-20,1.17,-73.45437045353323,62.5
1972-11-21,1.01,-91.4902055706128,13.483146067415719
1972-11-22,1.27,-45.77893767364436,42.69662921348314
1972-11-24,1.21,-61.88827571845065,13.08411214953269
1972-11-27,1.24,-59.04000000000001,19.23076923076923
1972-11-28,1.1,-69.48426189105416,23.59550561797754
1972-11-29,1.52,-82.19627316843685,97.40259740259741
1972-11-30,1.09,-74.24033157804162,43.42105263157896
1972-12-01,1.04,-74.94675311150387,4.0000000000000036
1972-12-04,1.05,-78.38902738883955,2.941176470588247
1972-12-05,1.06,-80.24691358024691,1.9230769230769162
1972-12-06,1.56,-47.19269129264161,65.95744680851065
1972-12-07,1.12,-74.10156739286464,25.842696629213503
1972-12-08,1.13,-76.32697723364343,37.80487804878048
1972-12-11,1.09,-79.50509386649914,15.957446808510657
1972-12-12,0.85,-89.95920931458919,-35.60606060606061
1972-12-13,0.85,-86.01648019513559,-49.404761904761905
1972-12-14,1.04,-78.08411537664689,-52.07373271889401
1972-12-15,0.97,-83.84446986246598,-30.714285714285715
1972-12-18,0.82,-90.31753199554193,-40.57971014492754
