DATE,PAYEMS,3m growth rate,12m growth rate
1965-06-01,60690,4.6590267237238026,4.2443188649753605
1965-07-01,60965,4.769442147178471,4.370677258097655
1965-08-01,61228,4.963242385073796,4.450775345877611
1965-09-01,61490,5.377871522261324,4.391966453321561
1965-10-01,61719,5.039636623724375,4.976782950351222
1965-11-01,61996,5.11250454616301,4.691141207065419
1965-12-01,62322,5.523103558984399,4.8821123845105285
1966-01-01,62529,5.353849728703519,4.946124668524043
1966-02-01,62796,5.262394422296768,5.010033444816053
1966-03-01,63192,5.701919811172851,5.3147342632868355
1966-04-01,63437,5.936254354930814,5.273900994042391
1966-05-01,63712,5.963679461209859,5.324759055066042
1966-06-01,64111,5.945325811371749,5.636842972483103
1966-07-01,64301,5.56023830356096,5.471992126630032
1966-08-01,64507,5.08541068990529,5.355392957470428
1966-09-01,64643,3.360787377691365,5.1276630346397845
1966-10-01,64854,3.484703731323324,5.079473095805187
1966-11-01,65019,3.2128484008405067,4.876121040067094
1966-12-01,65199,3.4850766597193106,4.61634735727352
1967-01-01,65407,3.454610729224372,4.6026643637352205
1967-02-01,65429,2.5462983189721733,4.192942225619456
1967-03-01,65530,2.0462225229419984,3.699835422205333
1967-04-01,65466,0.3613061533053852,3.198448854769298
1967-05-01,65620,1.17280091798746,2.9947262682069375
1967-06-01,65750,1.3496741720259386,2.556503564130952
1967-07-01,65888,2.603476252451342,2.46807981213355
1967-08-01,66143,3.226369134623241,2.5361588664795987
1967-09-01,66164,2.542519328101656,2.352922976965788
1967-10-01,66225,2.0616459964641454,2.1139790914978196
1967-11-01,66703,3.4298540459577698,2.5900121502945295
1967-12-01,66900,4.524346068799456,2.6089357198729957
1968-01-01,66804,3.543299855742421,2.135857018361942
1968-02-01,67215,3.105858814124196,2.7296764431673948
1968-03-01,67295,2.3827330874356623,2.693422859758887
1968-04-01,67556,4.579326035663356,3.192496868603545
1968-05-01,67652,2.6260819849597272,3.096616885096015
1968-06-01,67905,3.675424999640442,3.2775665399239484
1968-07-01,68126,3.417932850979133,3.396673142302098
1968-08-01,68330,4.069417112003149,3.306472340232536
1968-09-01,68484,3.4545176507619013,3.506438546641677
1968-10-01,68721,3.5395615000721525,3.7689694224235515
1968-11-01,68984,3.8837957014902,3.4196362982174655
1968-12-01,69248,4.537585411982015,3.5097159940209233
1969-01-01,69439,4.2451717853570825,3.9443745883479986
1969-02-01,69699,4.210791918632273,3.6956036598973396
1969-03-01,69905,3.849407048234044,3.8784456497511055
1969-04-01,70072,3.6965295186419,3.724317603173666
1969-05-01,70328,3.658967715011663,3.955537160763911
1969-06-01,70636,4.2488880497367765,4.021795154995944
1969-07-01,70729,3.803505023510589,3.820861345154558
1969-08-01,71008,3.9240478076179697,3.9192155714912857
1969-09-01,70914,1.5835861871551948,3.5482740494130027
1969-10-01,71121,2.235410759309464,3.4923822412363137
1969-11-01,71086,0.4401116205112965,3.0470833816537146
1969-12-01,71241,1.8572849601357968,2.878061460258774
1970-01-01,71176,0.3096909920845991,2.5014761157274634
1970-02-01,71305,1.2380165708419932,2.304193747399541
1970-03-01,71451,1.1843200652055907,2.2115728488663278
1970-04-01,71348,0.970127422829492,1.8209841306085162
1970-05-01,71124,-1.0114970464968345,1.1318393811853067
1970-06-01,71029,-2.341610942435768,0.5563735205843967
1970-07-01,71053,-1.6436365373514006,0.4580864991728939
1970-08-01,70937,-1.0475439973094192,-0.09998873366381389
1970-09-01,70944,-0.4778191621218841,0.04230476351636536
1970-10-01,70521,-2.96147860515269,-0.8436326823301088
1970-11-01,70409,-2.944213394896644,-0.9523675547927879
1970-12-01,70792,-0.8542636412119609,-0.6302550497606751
1971-01-01,70865,1.9655151392174552,-0.43694503765314696
1971-02-01,70807,2.280318646877477,-0.6984082462660357
1971-03-01,70860,0.3847781666269201,-0.8271402779527204
1971-04-01,71036,0.9687148282730318,-0.43729326680496117
1971-05-01,71247,2.5088949188372345,0.17293740509531919
1971-06-01,71254,2.242722616380344,0.3167720226949555
1971-07-01,71315,1.5803142226884503,0.3687388287616278
1971-08-01,71373,0.7092769654936326,0.6146298828537899
1971-09-01,71614,2.0363065592548413,0.9444068561118568
1971-10-01,71642,1.846769785124436,1.58959742488054
1971-11-01,71847,2.683047147465878,2.04235254015821
1971-12-01,72109,2.7936207559924986,1.8603797039213443
1972-01-01,72441,4.536256053174714,2.223946941367383
1972-02-01,72648,4.5346082014722455,2.600025421215424
1972-03-01,72944,4.712953183167556,2.94101044312729
1972-04-01,73162,4.041002699034091,2.9928486964356127
1972-05-01,73469,4.597634704290465,3.118727806083066
1972-06-01,73758,4.538972844349964,3.514188677126895
1972-07-01,73709,3.024330392392516,3.3569375306737648
1972-08-01,74141,3.7091902072934113,3.878217253022842
1972-09-01,74264,2.7724764876333463,3.7003937777529528
1972-10-01,74674,5.340550805007371,4.232154322883219
1972-11-01,74973,4.564869372820524,4.350912355421932
1972-12-01,75268,5.518389768443921,4.380867852833914
1973-01-01,75617,5.147780913129529,4.384257533717095
1973-02-01,76014,5.670749841632006,4.633300297324072
1973-03-01,76284,5.509684638845425,4.578855012064054
1973-04-01,76455,4.507100169547562,4.5009704491402625
1973-05-01,76648,3.378199159097805,4.3269950591405815
1973-06-01,76887,3.199557065966929,4.242251687952492
1973-07-01,76913,2.417798185257647,4.346823318726334
1973-08-01,77168,2.741445033996137,4.082761225233011
1973-09-01,77276,2.039159358443832,4.0558009264246575
1973-10-01,77607,3.6584180251698175,3.9277392398960886
1973-11-01,77920,3.955338563627242,3.930748402758333
1973-12-01,78031,3.965717522122425,3.6708827124408705
1974-01-01,78100,2.5653233070231263,3.283653146779164
1974-02-01,78254,1.7256347722625742,2.946825584760693
1974-03-01,78296,1.3653701897921255,2.6375124534633754
1974-04-01,78382,1.4521435567792065,2.5204368582826486
1974-05-01,78549,1.5164583118964623,2.4801690846466995
1974-06-01,78604,1.5828250830005386,2.233147346105313
1974-07-01,78636,1.302530250054712,2.240193465343965
1974-08-01,78619,0.3569421775940995,1.8803130831432702
1974-09-01,78610,0.0305362934349462,1.7262798281484582
1974-10-01,78630,-0.0305168794270116,1.3181800610769567
1974-11-01,78265,-1.7889630769308609,0.44276180698152867
1974-12-01,77652,-4.786309596464234,-0.4857043995335153
1975-01-01,77293,-6.629958137255065,-1.033290653008967
1975-02-01,76918,-6.708607634074381,-1.7072609706852093
1975-03-01,76648,-5.072351003835152,-2.1048329416572975
1975-04-01,76460,-4.241679908993968,-2.4520935929167376
1975-05-01,76624,-1.5201574553223685,-2.4506995633298945
1975-06-01,76521,-0.6611246439708007,-2.6499923668006686
1975-07-01,76770,1.6316526315276692,-2.372958950099191
1975-08-01,77153,2.79026652746297,-1.8646891972678326
1975-09-01,77228,3.747252457253092,-1.758046050120854
1975-10-01,77540,4.07274851981414,-1.3862393488490388
1975-11-01,77685,2.7868150778489253,-0.7410719989778269
1975-12-01,78017,4.149654496227773,0.4700458455674017
1976-01-01,78503,5.061072034105529,1.5654716468503027
1976-02-01,78816,5.951932000018445,2.4675628591487087
1976-03-01,79048,5.3917364170164905,3.131197161047905
1976-04-01,79292,4.081244036243725,3.703897462725614
1976-05-01,79312,2.541117383739966,3.508039256629769
1976-06-01,79376,1.6701100441240735,3.7310019471779032
1976-07-01,79547,1.292603261943026,3.617298423863491
1976-08-01,79704,1.9917075903362005,3.306417119230609
1976-09-01,79892,2.6257477687471558,3.449526078624343
1976-10-01,79911,1.8429661858281765,3.0577766314160426
1976-11-01,80240,2.717209103768292,3.288923215549988
1976-12-01,80448,2.8129530430279326,3.1159875411769233
1977-01-01,80690,3.956727610145761,2.785880794364548
1977-02-01,80988,3.781278539165833,2.755785627283802
1977-03-01,81391,4.771830336647831,2.964021860135624
1977-04-01,81728,5.245763522715596,3.072188871512882
1977-05-01,82088,5.544595950513576,3.500100867460154
1977-06-01,82488,5.501238450026569,3.920580528119322
1977-07-01,82834,5.52395247782822,4.132148289690374
1977-08-01,83075,4.89691150716427,4.22939877546924
1977-09-01,83532,5.159478529884631,4.556150803584846
1977-10-01,83800,4.746987080773368,4.866664163882328
1977-11-01,84173,5.392528657245421,4.901545363908277
1977-12-01,84410,4.271130425453262,4.924920445505165
1978-01-01,84594,3.8441818793896183,4.8382699219234215
1978-02-01,84948,3.734067945085817,4.889613276040894
1978-03-01,85460,5.069327571846416,4.9993242496099155
1978-04-01,86162,7.622937453436784,5.425313234142526
1978-05-01,86509,7.555477771429264,5.385683656563689
1978-06-01,86950,7.158540881796749,5.409271651634184
1978-07-01,87204,4.925860559856643,5.2756114638916385
1978-08-01,87483,4.580208454176482,5.3060487511285
1978-09-01,87621,3.122747680987792,4.895130010056037
1978-10-01,87956,3.494258531816952,4.959427207637224
1978-11-01,88391,4.216748328050723,5.0111080750359305
1978-12-01,88671,4.8802233916785065,5.0479800971448885
1979-01-01,88808,3.9313278974667742,4.981440764120393
1979-02-01,89055,3.038859474233369,4.834722418420689
1979-03-01,89479,3.695058798656148,4.702784928621573
1979-04-01,89417,2.771340441542347,3.777767461293835
1979-05-01,89789,3.3378227584871745,3.791513021766524
1979-06-01,90108,2.8416211519258328,3.63197239792985
1979-07-01,90217,3.6270525449328295,3.45511673776433
1979-08-01,90300,2.295955263807969,3.220054181955345
1979-09-01,90327,0.9757166348491886,3.0883007498202497
1979-10-01,90481,1.1756589924410088,2.870753558597472
1979-11-01,90573,1.214797432480319,2.46857711757984
1979-12-01,90672,1.5365576459656085,2.256656629563225
1980-01-01,90800,1.417716290532267,2.2430411674623896
1980-02-01,90883,1.3761062061362406,2.0526640839930277
1980-03-01,90994,1.428089482494288,1.6931347019971232
1980-04-01,90849,0.2160338254123095,1.601485176196915
1980-05-01,90420,-2.0222655381126886,0.70275868981724
1980-06-01,90101,-3.8681238962093634,-0.007768455631018689
1980-07-01,89840,-4.369072495472237,-0.41788133056962495
1980-08-01,90099,-1.4124957713444577,-0.22259136212624542
1980-09-01,90213,0.4981476583986399,-0.12620811053173364
1980-10-01,90490,2.925593473800792,0.00994683966799581
1980-11-01,90747,2.908020240066977,0.19211023152594375
1980-12-01,90943,3.2762843196399998,0.29887947767779366
1981-01-01,91033,2.421956555253013,0.2566079295154289
1981-02-01,91105,1.58737615749156,0.2442701055202834
1981-03-01,91210,1.1795438154500015,0.2373782886783804
1981-04-01,91283,1.1030361872975236,0.4777157701240542
1981-05-01,91296,0.8412336624620709,0.9688122096881191
1981-06-01,91490,1.233601460498135,1.541603311838946
1981-07-01,91601,1.4007671701415036,1.9601513802315118
1981-08-01,91565,1.1838031617326106,1.6270990799009954
1981-09-01,91477,-0.0568246998266075,1.4011284404686686
1981-10-01,91380,-0.9615680890887824,0.9835340921648728
1981-11-01,91171,-1.7101042594971916,0.46723307657552393
1981-12-01,90895,-2.5207178734936164,-0.052780312943268015
1982-01-01,90565,-3.520076388180149,-0.5140992826777158
1982-02-01,90563,-2.6409496896481865,-0.5949179518138448
1982-03-01,90434,-2.013332760513886,-0.8507839052735444
1982-04-01,90150,-1.8203773859179373,-1.2411949651085052
1982-05-01,90107,-1.9989067979724773,-1.302357167893442
1982-06-01,89865,-2.493099362005091,-1.7761503989507044
1982-07-01,89521,-2.761830383760211,-2.270717568585501
1982-08-01,89363,-3.2620594320724616,-2.4048490143613876
1982-09-01,89183,-3.0012818929880503,-2.5077341845491263
1982-10-01,88907,-2.7153939200631805,-2.706281462026705
1982-11-01,88786,-2.5578176499366334,-2.6159634094174655
1982-12-01,88771,-1.8351201420803376,-2.336762198140707
1983-01-01,88990,0.3739471607306477,-1.7390824269861382
1983-02-01,88917,0.5914906077763682,-1.8175192959597242
